file_name,Male,Young,EyeGlasses
seed5172,0,1,0
seed8658,1,0,0
seed19002,1,0,0
seed16818,0,1,0
seed2488,1,0,1
seed10606,0,1,0
seed19992,0,1,0
seed2804,0,1,0
seed18560,0,1,0
seed19967,0,1,0
seed4624,1,1,0
seed5260,0,1,0
seed5177,0,1,0
seed17195,1,0,0
seed9044,0,1,1
seed12204,0,1,0
seed18991,0,1,1
seed7401,0,1,0
seed6647,0,1,0
seed3020,0,1,0
seed13762,1,1,0
seed1709,0,1,0
seed4828,1,1,0
seed16916,1,1,0
seed14382,0,1,0
seed7824,0,1,0
seed16485,1,0,0
seed16105,0,1,0
seed3631,1,1,0
seed13056,0,1,0
seed13346,1,1,0
seed7175,1,1,0
seed19475,1,1,0
seed19357,0,1,0
seed7452,0,1,0
seed4782,0,1,0
seed3337,1,1,0
seed10254,1,1,0
seed6150,0,1,0
seed0147,1,1,0
seed0421,0,1,0
seed9641,1,1,0
seed19429,0,1,0
seed12002,0,1,0
seed0419,0,1,0
seed1196,0,0,1
seed13978,1,0,0
seed11193,1,1,0
seed19426,1,1,0
seed6549,0,1,0
seed17734,1,1,0
seed5397,1,0,0
seed16214,0,1,0
seed8627,0,1,0
seed5747,1,0,0
seed13450,1,1,0
seed12136,1,1,0
seed9258,0,1,0
seed9719,0,1,0
seed9034,1,1,0
seed8437,1,1,1
seed18552,1,1,0
seed9041,1,0,0
seed14682,1,1,0
seed6051,0,1,0
seed8098,1,1,0
seed9932,0,1,0
seed3006,1,1,0
seed14114,1,1,0
seed8559,1,1,0
seed1046,0,1,0
seed17084,0,1,0
seed8890,0,1,0
seed16234,0,1,0
seed11224,0,1,0
seed4097,0,1,0
seed2114,0,1,0
seed19152,1,0,1
seed15534,0,0,0
seed10366,1,0,0
seed11016,1,0,0
seed0521,0,1,0
seed0310,0,1,0
seed15812,0,1,0
seed2025,0,1,0
seed12697,0,1,0
seed16656,0,1,0
seed15711,1,0,0
seed11835,0,1,0
seed15917,1,0,0
seed14904,0,0,0
seed11328,1,0,0
seed11116,1,0,0
seed17120,1,0,0
seed12154,1,0,0
seed13750,0,0,1
seed4164,0,1,0
seed17543,0,0,1
seed10332,0,1,0
seed5833,1,1,0
seed8202,0,1,0
seed17857,1,1,0
seed19153,0,1,0
seed9651,0,1,0
seed14894,0,0,0
seed19464,1,1,0
seed13288,0,1,0
seed5810,0,1,0
seed14795,0,1,0
seed11200,0,1,0
seed11604,0,1,0
seed12647,1,0,0
seed4990,0,0,0
seed6620,1,0,0
seed6361,0,1,0
seed7359,0,1,0
seed9760,0,1,0
seed15130,1,1,0
seed6561,1,1,0
seed7286,1,0,0
seed9768,0,1,0
seed14908,1,1,0
seed13109,0,1,0
seed11360,1,0,1
seed19478,0,1,0
seed19346,1,0,1
seed11006,0,0,0
seed4926,1,1,0
seed10104,1,1,0
seed12520,0,1,0
seed19145,1,0,0
seed5441,0,1,0
seed17766,0,1,0
seed5115,1,0,0
seed18235,0,1,0
seed10538,1,0,0
seed16635,0,1,0
seed12533,1,1,0
seed18989,1,0,0
seed19827,1,1,0
seed10124,0,1,0
seed9855,0,0,0
seed17029,0,1,0
seed18988,1,1,0
seed14968,1,1,0
seed11795,0,1,0
seed4342,1,0,0
seed17107,1,0,0
seed16265,1,1,0
seed16253,1,1,0
seed10442,0,1,0
seed5458,0,1,0
seed16832,1,0,0
seed2987,1,1,0
seed13426,0,0,0
seed0743,1,1,0
seed13810,1,1,0
seed9221,0,0,0
seed12446,1,1,0
seed15110,0,1,0
seed7791,0,1,0
seed19166,0,1,0
seed14679,1,1,0
seed9980,0,0,0
seed15241,0,1,0
seed3197,0,1,0
seed2189,0,1,0
seed5823,1,0,1
seed14343,0,1,0
seed15951,0,1,0
seed12506,1,1,0
seed14763,0,0,0
seed6903,1,0,0
seed14783,1,1,0
seed5627,0,1,0
seed14800,1,0,0
seed6277,0,1,0
seed13499,0,1,0
seed13841,1,0,0
seed0026,1,0,1
seed7327,1,0,0
seed16703,0,1,0
seed15348,0,1,0
seed5509,1,1,1
seed18102,0,1,0
seed15417,0,1,0
seed15258,1,1,0
seed14683,1,1,0
seed0300,1,0,1
seed17770,1,1,0
seed11627,1,1,0
seed18572,0,1,0
seed4712,1,0,1
seed18851,1,1,0
seed15429,1,0,1
seed7519,0,1,0
seed14221,0,1,0
seed17994,0,1,0
seed0768,1,1,0
seed15829,0,1,0
seed4939,1,1,0
seed12628,1,1,0
seed0569,1,0,0
seed6516,1,1,0
seed1798,1,0,1
seed2132,0,1,0
seed10585,0,1,0
seed9670,0,1,0
seed10856,0,1,0
seed2200,0,1,0
seed16516,0,1,0
seed14479,0,1,0
seed19879,1,1,0
seed15289,0,0,0
seed17868,0,1,0
seed0941,1,0,1
seed9207,1,1,0
seed0257,1,1,0
seed10565,0,1,0
seed2813,1,1,0
seed2714,1,1,0
seed8391,0,1,0
seed10882,0,1,0
seed1271,0,1,0
seed7704,1,1,0
seed19376,0,1,0
seed4885,1,0,0
seed12305,0,1,0
seed17805,0,1,0
seed8457,1,1,0
seed2237,0,1,0
seed3085,0,1,0
seed7482,1,0,0
seed10275,0,1,0
seed17435,1,1,0
seed10327,0,1,0
seed19332,0,1,0
seed4413,1,1,0
seed16668,0,1,0
seed8432,1,1,0
seed7736,0,0,0
seed8814,0,1,0
seed14812,0,1,0
seed3153,1,1,0
seed15661,0,1,0
seed11309,0,1,0
seed10700,1,1,1
seed11266,0,1,0
seed3782,1,1,1
seed1614,0,1,0
seed13153,1,0,0
seed15818,0,1,0
seed9370,1,1,0
seed14400,0,1,0
seed7864,0,1,0
seed16207,0,1,0
seed18139,1,0,0
seed4057,1,0,0
seed16886,0,1,0
seed8250,1,0,1
seed5719,1,1,0
seed14502,1,1,0
seed1195,0,1,0
seed16750,0,0,0
seed17931,1,1,0
seed6780,1,1,0
seed9478,0,0,0
seed8184,1,1,0
seed1520,0,1,0
seed8015,1,1,0
seed13166,1,1,0
seed2908,0,1,0
seed13226,1,1,1
seed8781,1,0,0
seed13502,0,1,0
seed3876,0,1,0
seed14198,1,1,0
seed6426,1,0,0
seed6443,0,0,0
seed16107,1,1,0
seed0965,0,1,0
seed7957,0,1,0
seed6874,1,1,0
seed2925,1,0,0
seed10843,1,1,0
seed0224,1,1,0
seed16116,0,1,0
seed19012,0,1,0
seed10516,0,0,1
seed13019,1,1,0
seed5835,1,0,0
seed5171,0,1,0
seed15199,0,1,0
seed0523,1,1,0
seed4426,0,1,1
seed8524,0,1,0
seed9604,1,1,0
seed11333,1,1,0
seed3017,0,1,0
seed9801,0,1,0
seed4715,1,0,0
seed1956,1,1,1
seed11660,1,0,0
seed17262,0,1,0
seed14235,1,1,1
seed12350,1,1,0
seed16710,0,1,0
seed8966,1,1,0
seed0672,0,1,0
seed13701,1,0,0
seed19984,1,1,0
seed8820,0,1,0
seed4947,0,1,0
seed1879,1,1,0
seed2569,0,1,0
seed7888,1,1,1
seed12382,0,1,0
seed3867,0,1,0
seed11890,0,1,0
seed17835,0,1,0
seed2504,0,1,0
seed5478,0,1,0
seed1354,0,1,0
seed14245,0,1,0
seed18299,0,1,0
seed1575,0,1,0
seed18919,1,1,0
seed11423,1,1,0
seed15620,1,1,0
seed4714,0,1,0
seed10360,0,0,0
seed1133,1,1,0
seed6987,1,0,0
seed5663,1,1,0
seed10645,1,1,1
seed10695,0,1,0
seed16815,1,1,0
seed14713,1,1,0
seed14107,0,1,0
seed6036,1,1,1
seed12076,0,1,0
seed7981,1,0,0
seed18953,0,1,0
seed13500,1,1,1
seed5679,0,1,0
seed2042,1,1,0
seed5554,1,1,0
seed12259,0,1,0
seed18141,0,1,0
seed5599,0,1,0
seed17348,1,1,0
seed1277,0,0,0
seed6192,1,0,0
seed9452,1,0,0
seed9984,0,0,0
seed3697,0,1,0
seed1675,1,1,0
seed5726,1,1,0
seed7892,1,1,0
seed17697,0,1,0
seed11381,1,1,0
seed10871,0,1,0
seed16460,0,1,0
seed12364,0,1,0
seed19154,1,1,0
seed5413,1,0,0
seed2338,0,1,0
seed19210,0,1,0
seed19683,0,1,0
seed15735,1,0,0
seed3458,1,0,1
seed13003,0,1,0
seed15991,0,1,0
seed4769,1,1,0
seed0464,1,1,0
seed13115,0,1,0
seed4412,0,1,0
seed19069,1,1,0
seed15612,0,0,0
seed9454,1,0,0
seed17118,0,1,0
seed2250,0,1,0
seed12687,0,1,0
seed2677,0,1,0
seed4757,0,1,0
seed9414,1,0,0
seed10948,0,1,0
seed11136,0,1,0
seed1540,1,1,0
seed8479,0,1,0
seed8213,0,1,0
seed11851,1,0,0
seed5890,0,1,0
seed2588,0,1,0
seed0628,1,1,0
seed4525,0,1,0
seed18116,1,1,0
seed4405,1,0,0
seed13055,0,1,0
seed9483,0,1,0
seed7185,1,1,0
seed10790,1,1,0
seed18014,0,1,0
seed15455,1,0,0
seed2792,1,1,0
seed13983,0,1,0
seed16802,0,1,0
seed8910,0,1,0
seed11440,1,1,1
seed13894,1,0,1
seed12145,1,1,0
seed4163,1,1,0
seed0367,0,1,0
seed15989,0,1,0
seed12460,1,1,1
seed13121,0,1,0
seed7580,1,1,0
seed2231,0,1,0
seed14716,0,1,0
seed11242,1,1,0
seed4275,0,1,0
seed12398,1,1,0
seed18622,1,0,0
seed9093,0,1,0
seed13901,0,1,0
seed4136,1,0,0
seed12484,1,1,0
seed0886,0,1,0
